UserID,Purchased,Edition,TrialStarted,TrialDate,ActiveReps,ActivitiesPerRep,MessagesCnt,AuditsCnt,ClientNotesCnt,FormsCnt,NewPlaceCnt,OrdersCnt,PhotosCnt,StatusChangedCnt,WorkdayStartCnt,ScheduleCnt,ScheduledRepsCnt,ScheduledPlacesCnt,ImportCnt
13336,0,N/A,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13336,0,N/A,2016-01-01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13337,0,N/A,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
